公司代號    收盤價      漲停價格     跌停價格
2006            37.85        40.45        35.25
20062          180.00       192.00       168.00
20063          141.60       151.00       131.70
2007            10.10        10.80         9.40
2008             8.20         8.77         7.63
2009            17.30        18.50        16.10
2010            15.10        16.15        14.05
2012            12.65        13.50        11.80
2013            18.10        19.35        16.85
2014            17.25        18.45        16.05
2015            42.20        45.15        39.25
2017            10.65        11.35         9.91
2020            33.50        35.80        31.20
2022             7.45         7.97         6.93
2023            14.95        15.95        13.95
20231          111.50       119.30       103.70
2024             9.79        10.45         9.11
2025            13.35        14.25        12.45
2027            52.70        56.30        49.05
2028             9.13         9.76         8.50
2029            35.15        37.60        32.70
2030            42.40        45.35        39.45
2031            28.45        30.40        26.50
20312          108.00       115.55       100.45
20313          141.00       150.00       131.15
2032            39.00        41.70        36.30
2033            10.85        11.60        10.10
2034            57.80        61.80        53.80
20342          139.00       148.70       129.30
2035            48.10        51.40        44.75
2059           151.00       161.50       140.50
20591          101.50       108.60        94.40
2101            61.30        65.50        57.10
2102            23.25        24.85        21.65
2103            30.35        32.45        28.25
2104            35.85        38.35        33.35
2105            35.95        38.45        33.45
2106            19.80        21.15        18.45
2107            23.55        25.15        21.95
2108            20.80        22.25        19.35
2109             8.15         8.72         7.58
2114            47.90        51.20        44.55
21141          117.90       126.15       109.65
公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

2201            37.90        40.55        35.25
22012          113.30       121.20       105.40
2204            29.10        31.10        27.10
22043           99.00       105.90        92.10
2206            20.75        22.20        19.30
2207            80.40        86.00        74.80
2227            86.10        92.10        80.10
2301            41.50        44.40        38.60
2302             6.80         7.27         6.33
2303            19.05        20.35        17.75
2305             5.06         5.41         4.71
23051          100.50       107.50        93.50
2308           105.00       112.00        97.70
2311            39.55        42.30        36.80
2312            12.65        13.50        11.80
2313            13.95        14.90        13.00
23132          114.80       122.80       106.80
23133          135.00       144.45       125.55
2314            15.65        16.70        14.60
23141          110.00       117.70       102.30
2315            36.85        39.40        34.30
23153          107.10       114.55        99.65
2316            15.20        16.25        14.15
2317           221.00       236.00       206.00
23171          101.70       108.80        94.60
2321            16.25        17.35        15.15
2323            10.05        10.75         9.35
2324            31.35        33.50        29.20
2325            62.50        66.80        58.20
2326             1.52         1.62         1.42
2327            13.60        14.55        12.65
2328            70.00        74.90        65.10
2329            11.50        12.30        10.70
2330            69.90        74.70        65.10
2330GA          69.90        74.70        65.10
2330GD          69.90        74.70        65.10
2331            18.55        19.80        17.30
2332            61.40        65.60        57.20
2336            16.45        17.60        15.30
2337            13.35        14.25        12.45
2338            20.95        22.40        19.50
23382          112.50       120.35       104.65
2340            25.20        26.95        23.45
2341            12.90        13.80        12.00
2342            42.80        45.75        39.85
2344            11.45        12.25        10.65
23442          145.50       155.00       135.35
2345            19.20        20.50        17.90
2347            44.20        47.25        41.15
2348            23.40        25.00        21.80
2349             8.10         8.66         7.54
2350            21.30        22.75        19.85
2351            59.20        63.30        55.10
2352            13.80        14.75        12.85
235201         105.50       112.85        98.15
2353            64.90        69.40        60.40
2354           329.00       352.00       306.00
公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

2355            26.30        28.10        24.50
23551          136.65       146.20       127.10
2356            25.90        27.70        24.10
2357            76.80        82.10        71.50
23571          102.70       109.85        95.55
2358            12.75        13.60        11.90
2359            13.45        14.35        12.55
2360            51.70        55.30        48.10
2361            10.80        11.55        10.05
2362            35.15        37.60        32.70
2363            17.90        19.15        16.65
2364             7.40         7.91         6.89
2365            45.00        48.15        41.85
2367            24.35        26.05        22.65
2368            26.80        28.65        24.95
2369            12.95        13.85        12.05
23691          118.30       126.55       110.05
2371            14.70        15.70        13.70
23711          131.50       140.70       122.30
2373            20.50        21.90        19.10
2374            40.10        42.90        37.30
2375             8.82         9.43         8.21
2376            21.90        23.40        20.40
2377            24.55        26.25        22.85
2379            68.60        73.40        63.80
2380            23.50        25.10        21.90
2381             8.12         8.68         7.56
2382            50.40        53.90        46.90
2383            17.85        19.05        16.65
23831          161.00       172.00       149.75
23832          122.50       131.05       113.95
2384            28.55        30.50        26.60
2385            52.30        55.90        48.65
2387            42.90        45.90        39.90
2388            33.00        35.30        30.70
2390            10.00        10.70         9.30
2391            50.10        53.60        46.60
2392            93.50       100.00        87.00
23921          104.40       111.70        97.10
2393           118.00       126.00       110.00
23932          131.70       140.90       122.50
2395           100.00       107.00        93.00
2396             6.88         7.36         6.40
2397            84.60        90.50        78.70
2399            25.65        27.40        23.90
2401            76.50        81.80        71.20
2402            34.00        36.35        31.65
2403            21.75        23.25        20.25
2404            28.65        30.65        26.65
2405            14.00        14.95        13.05
2406            11.50        12.30        10.70
2408            28.50        30.45        26.55
24081          104.60       111.90        97.30
2409            53.70        57.40        49.95
24092           97.60       104.40        90.80
24093          123.30       131.90       114.70
2410              .71          .75          .67
公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

2411            30.65        32.75        28.55
2412            63.10        67.50        58.70
2413            26.80        28.65        24.95
2414            16.60        17.75        15.45
24141          140.00       149.80       130.20
2415            20.20        21.60        18.80
2417            46.80        50.00        43.55
2418             8.53         9.12         7.94
24183          175.00       187.00       163.00
2419            14.20        15.15        13.25
2420            40.95        43.80        38.10
2421            22.25        23.80        20.70
24212          129.00       138.00       120.00
2423            38.70        41.40        36.00
2424             8.52         9.11         7.93
2425            20.00        21.40        18.60
2426            29.05        31.05        27.05
24264          125.00       133.75       116.25
24265          120.10       128.50       111.70
2427             8.88         9.50         8.26
2428            32.70        34.95        30.45
24281          175.00       187.00       163.00
2429             2.85         3.04         2.66
2430            29.65        31.70        27.60
2431            11.15        11.90        10.40
2432            54.00        57.70        50.30
2433            14.15        15.10        13.20
2434            37.20        39.80        34.60
2436            25.25        27.00        23.50
2437            38.50        41.15        35.85
2438            11.20        11.95        10.45
2439           114.00       121.50       106.50
2440             7.46         7.98         6.94
2441            54.00        57.70        50.30
2442            11.40        12.15        10.65
2443             8.66         9.26         8.06
2444            22.40        23.95        20.85
2446            37.65        40.25        35.05
2447            32.90      9999.95        30.60
24471          201.00       215.00       187.00
2448           112.00       119.50       104.50
24481          137.80       147.40       128.20
24482          129.30       138.35       120.25
2449            26.30        28.10        24.50
2450            45.75        48.95        42.55
2451           113.50       121.00       106.00
24511          118.50       126.75       110.25
2452            57.80        61.80        53.80
2453            11.45        12.25        10.65
2454           406.00       434.00       378.00
2455            51.40        54.90        47.85
24551          120.00       128.40       111.60
2456            26.60        28.45        24.75
2457            25.35        27.10        23.60
2458            35.40        37.85        32.95
2459            41.35        44.20        38.50
2460            46.15        49.35        42.95
公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

2461            34.20        36.55        31.85
2462            24.00        25.65        22.35
24621          124.50       133.20       115.80
2463            47.40        50.70        44.10
24631          189.00       202.00       176.00
2464            38.10        40.75        35.45
2465            16.60        17.75        15.45
2465GD         100.00       114.95        85.05
2466            40.20        43.00        37.40
2467            24.30        26.00        22.60
2468            14.95        15.95        13.95
2469            21.60        23.10        20.10
24692          108.00       115.55       100.45
2471            12.80        13.65        11.95
2472            22.40        23.95        20.85
2473            57.00        60.90        53.10
2474           250.00       267.50       232.50
2475             8.32         8.90         7.74
2476            57.20        61.20        53.20
2477            26.25        28.05        24.45
2478           131.00       140.00       122.00
2479            10.15        10.85         9.45
2480            18.15        19.40        16.90
2481            30.95        33.10        28.80
24812          166.00       177.00       155.00
2482            49.60        53.00        46.15
2483            24.80        26.50        23.10
2484            28.00        29.95        26.05
24841          199.00       212.00       186.00
24842          150.00       160.00       139.50
2485            68.00        72.70        63.30
2486            46.00        49.20        42.80
2488            20.15        21.55        18.75
2489            30.30        32.40        28.20
24891          118.00       126.25       109.75
2491             6.57         7.02         6.12
2492            31.75        33.95        29.55
2493            16.25        17.35        15.15
2494            14.10        15.05        13.15
2495            61.00        65.20        56.80
2496             6.22         6.65         5.79
2497            27.60        29.50        25.70
2498           507.00       542.00       472.00
2499            37.40        40.00        34.80
24991          171.00       182.00       160.00
24992          152.00       162.00       141.40
2501            19.15        20.45        17.85
2504            18.90        20.20        17.60
2505            28.10        30.05        26.15
2506             6.60         7.06         6.14
2509            26.70        28.55        24.85
2511            21.65        23.15        20.15
2514            20.30        21.70        18.90
2515             6.90         7.38         6.42
2516             6.41         6.85         5.97
2520            15.60        16.65        14.55
2524            31.95        34.15        29.75
公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

2526            26.00        27.80        24.20
2527            17.20        18.40        16.00
2528             3.95         4.22         3.68
2530            10.40        11.10         9.68
2534            26.05        27.85        24.25
2535            12.30        13.15        11.45
2536            35.00        37.45        32.55
2537             9.30         9.95         8.65
2538            34.60        37.00        32.20
2539             4.28         4.57         3.99
2540             2.75         2.94         2.56
2542            47.15        50.40        43.85
25422          153.00       163.00       142.30
2543            12.55        13.40        11.70
25432          100.00       107.00        93.00
2545            82.80        88.50        77.10
2546            11.20        11.95        10.45
2547            42.90        45.90        39.90
2548            70.10        75.00        65.20
2601            43.40        46.40        40.40
2603            21.00        22.45        19.55
26031          107.90       115.45       100.35
26032          119.40       127.75       111.05
2605            52.10        55.70        48.50
2606            63.70        68.10        59.30
2607            16.95        18.10        15.80
2608            22.30        23.85        20.75
2609            23.00        24.60        21.40
26092          125.50       134.25       116.75
26093          123.00       131.60       114.40
2610            14.95        15.95        13.95
26103          108.40       115.95       100.85
26104          106.30       113.70        98.90
2611            19.65        21.00        18.30
2612            61.90        66.20        57.60
2613            13.60        14.55        12.65
2614             9.36        10.00         8.71
26143          101.15       108.20        94.10
26144           98.50       105.35        91.65
2615            22.60        24.15        21.05
2616            16.05        17.15        14.95
26161          136.00       145.50       126.50
2617            38.30        40.95        35.65
2618            13.30        14.20        12.40
26182          109.40       117.05       101.75
2628            20.30        21.70        18.90
2701            18.80        20.10        17.50
2702            38.80        41.50        36.10
2704            38.65        41.35        35.95
2705            23.10        24.70        21.50
2706            38.75        41.45        36.05
2707           370.00       395.50       344.50
2801            19.65        21.00        18.30
2802           166.00       177.00       155.00
2803           154.00       164.00       143.50
2804            88.00        94.00        82.00
2805           196.00       209.00       183.00
公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

2806            75.00        80.00        70.00
2807           144.00       154.00       134.00
2808            93.00        99.50        86.50
2809             9.79        10.45         9.11
2810           176.00       188.00       164.00
2811            81.50        87.00        76.00
2812            11.90        12.70        11.10
2813            61.00        65.00        57.00
2814            55.50        59.00        52.00
2815            50.00        53.50        46.50
2816             4.07         4.35         3.79
2820             8.23         8.80         7.66
2823            14.60        15.60        13.60
2827             1.61         1.72         1.50
2832            21.90        23.40        20.40
2833            45.80        49.00        42.60
2834            10.00        10.70         9.30
2836            17.00        18.15        15.85
2837            11.35        12.10        10.60
2838             7.98         8.53         7.43
28381          103.20       110.40        96.00
2841            15.15        16.20        14.10
2845            16.10        17.20        15.00
2847            10.35        11.05         9.63
28471          114.10       122.05       106.15
2849             8.30         8.88         7.72
2850            17.35        18.55        16.15
2851            13.60        14.55        12.65
2852            18.05        19.30        16.80
2854            14.45        15.45        13.45
28541          115.00       123.05       106.95
2855            17.50        18.70        16.30
2856            13.10        14.00        12.20
2880            23.75        25.40        22.10
2881            29.20        31.20        27.20
2882            68.60        73.40        63.80
2883            13.85        14.80        12.90
2883A           17.05        18.20        15.90
2884            19.20        20.50        17.90
2885            14.65        15.65        13.65
2886            21.55        23.05        20.05
2887            16.70        17.85        15.55
2887C           31.15        33.30        29.00
2888            31.00        33.15        28.85
2889            10.30        11.00         9.58
2890            14.65        15.65        13.65
2891            26.85        28.70        25.00
2892            23.05        24.65        21.45
2901            30.25        32.35        28.15
2903            22.45        24.00        20.90
2904             2.57         2.74         2.40
2905            14.50        15.50        13.50
2906            10.25        10.95         9.54
2908            18.90        20.20        17.60
29081          191.00       204.00       178.00
2910            25.95        27.75        24.15
2911            25.85        27.65        24.05
公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

2912            85.30        91.20        79.40
2913             7.14         7.63         6.65
2915            23.10        24.70        21.50
2916            30.35        32.45        28.25
2921            27.10        28.95        25.25
3002            29.05        31.05        27.05
3003            34.20        36.55        31.85
30031          201.00       215.00       187.00
3004             3.02         3.23         2.81
3005            29.80        31.85        27.75
30052          122.80       131.35       114.25
3006            62.30        66.60        58.00
3008           398.50       426.00       371.00
3009            37.05        39.60        34.50
3010            67.50        72.20        62.80
3011            17.70        18.90        16.50
3013            13.60        14.55        12.65
30131          123.00       131.60       114.40
30132          122.50       131.05       113.95
3014            58.90        63.00        54.80
3015            47.20        50.50        43.90
3016            81.90        87.60        76.20
3017            29.20        31.20        27.20
3018             3.10         3.31         2.89
3019           144.00       154.00       134.00
30191          235.00       251.00       219.00
3020            30.80        32.95        28.65
3021             9.30         9.95         8.65
3022            47.60        50.90        44.30
3023            38.90        41.60        36.20
30232          110.00       117.70       102.30
3024            18.25        19.50        17.00
3025            32.40        34.65        30.15
30251          310.00       331.00       289.00
3026            60.90        65.10        56.70
30262          149.00       159.00       138.60
3027            26.40        28.20        24.60
3028            21.80        23.30        20.30
30282          153.00       163.00       142.30
30283          108.05       115.60       100.50
3029            11.60        12.40        10.80
30291          143.80       153.00       133.75
3030            40.30        43.10        37.50
3031            46.40        49.60        43.20
3032            20.50        21.90        19.10
3033            22.90        24.50        21.30
30332          133.50       142.80       124.20
3034           161.50       172.50       150.50
3035           100.50       107.50        93.50
3036            32.90        35.20        30.60
30364          117.00       125.15       108.85
3037            47.90        51.20        44.55
3038            18.55        19.80        17.30
30381          161.00       172.00       149.75
30383          108.50       116.05       100.95
3040            17.30        18.50        16.10
3041            60.80        65.00        56.60
公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

30411          195.00       208.00       182.00
3042            61.70        66.00        57.40
30422          125.00       133.75       116.25
3043            67.90        72.60        63.20
3044           125.50       134.00       117.00
3045            35.30        37.75        32.85
30452          154.00       164.00       143.25
3046            13.35        14.25        12.45
3047            27.25        29.15        25.35
3048            16.40        17.50        15.30
3049             9.53        10.15         8.87
3050            10.15        10.85         9.44
30501          105.50       112.85        98.15
3051            19.85        21.20        18.50
30511          135.00       144.45       125.55
30512          116.80       124.95       108.65
3052             7.80         8.34         7.26
3054            35.00        37.45        32.55
3055            28.85        30.85        26.85
3056            12.80        13.65        11.95
30561          104.00       111.25        96.75
3057            34.10        36.45        31.75
3058            27.50        29.40        25.60
3059            58.60        62.70        54.50
30591          116.75       124.90       108.60
3060            63.80        68.20        59.40
30601          124.50       133.20       115.80
3061            27.80        29.70        25.90
30611          132.35       141.60       123.10
30612          164.00       175.00       153.00
3062            69.50        74.30        64.70
3063            29.60        31.65        27.55
3064           117.00       125.00       109.00
3066            29.10        31.10        27.10
30661          110.00       117.70       102.30
3067            27.70        29.60        25.80
3069            23.65        25.30        22.00
3071            16.65        17.80        15.50
3078            33.70        36.05        31.35
3079            31.00        33.15        28.85
30791          116.00       124.10       107.90
3080           115.00       123.00       107.00
3083            94.40       101.00        87.80
3085            71.50        76.50        66.50
3086            18.30        19.55        17.05
3087            13.90        14.85        12.95
3088            55.50        59.30        51.70
3089             9.22         9.86         8.58
3090            62.80        67.10        58.50
3093            68.50        73.20        63.80
3095           106.50       113.50        99.10
3099            16.75        17.90        15.60
30992          120.00       128.40       111.60
3114            21.20        22.65        19.75
3115            22.00        23.50        20.50
3126            38.50        41.15        35.85
3128            44.45        47.55        41.35
公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

3130           185.00       197.50       172.50
3142             1.37         1.46         1.28
3144            21.10        22.55        19.65
31442          114.20       122.15       106.25
3152            15.00        16.05        13.95
3162            15.00        16.05        13.95
31621           99.55       106.50        92.60
3171            21.95        23.45        20.45
3188            66.30        70.90        61.70
3189           127.50       136.00       119.00
3191            46.30        49.50        43.10
3202            32.20        34.45        29.95
3205            13.90        14.85        12.95
3206            37.40        40.00        34.80
3207            18.00        19.25        16.75
3209            24.25        25.90        22.60
3211            71.30        76.20        66.40
32111          140.00       149.80       130.20
3213            99.30       106.00        92.40
3217            24.10        25.75        22.45
3218            68.90        73.70        64.10
3219            30.80        32.95        28.65
3221            50.80        54.30        47.25
3224            24.00        25.65        22.35
32241          145.00       155.00       134.85
3226            46.75        50.00        43.50
3227           394.00       421.50       366.50
3228           193.00       206.50       179.50
3229            29.45        31.50        27.40
3230            53.80        57.50        50.10
32301          112.00       119.80       104.20
3231            50.30        53.80        46.80
3232            13.20        14.10        12.30
3236            21.35        22.80        19.90
3252            15.80        16.90        14.70
32521          103.00       110.20        95.80
3260           121.50       130.00       113.00
32602          107.00       114.45        99.55
3264            30.30        32.40        28.20
32641          126.00       134.80       117.20
3265            27.75        29.65        25.85
3266            26.30        28.10        24.50
3268           125.00       133.50       116.50
3271            32.15        34.40        29.90
32711          203.00       217.00       189.00
32712          130.00       139.10       120.90
3276            14.60        15.60        13.60
3284            10.60        11.30         9.86
3288            76.60        81.90        71.30
3289            90.20        96.50        83.90
32891          200.00       214.00       186.00
3290             8.85         9.46         8.24
3293           317.00       339.00       295.00
3294            50.00      9995.00          .01
3296            58.30        62.30        54.30
32961          122.00       130.50       113.50
3297            44.00        47.05        40.95
公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

3298            61.90        66.20        57.60
3299            29.70        31.75        27.65
3305            92.90        99.40        86.40
33051          115.65       123.70       107.60
3306            69.80        74.60        65.00
3311           155.50       166.00       145.00
3312            14.80        15.80        13.80
3313           111.50       119.00       104.00
3315            70.10        75.00        65.20
3324            35.10        37.55        32.65
3325            59.20        63.30        55.10
3339            43.80        46.85        40.75
3354            28.00        29.95        26.05
3356           157.00       167.50       146.50
3360            19.30        20.65        17.95
3362            20.60        22.00        19.20
3367            63.00        67.40        58.60
3369            24.75        26.45        23.05
3372            32.25        34.50        30.00
3376           219.50       234.50       204.50
3380            38.60        41.30        35.90
33801          128.00       136.95       119.05
3388           152.00       162.50       141.50
3390            22.90        24.50        21.30
3402            48.00        51.30        44.65
3406            99.60       106.50        92.70
3419            61.50        65.80        57.20
34191          129.50       138.55       120.45
3431            73.40        78.50        68.30
34311          120.00       128.40       111.60
3438           275.00       294.00       256.00
3443           233.00       249.00       217.00
3450            38.65        41.35        35.95
3452           561.00       600.00       522.00
3454           132.00       141.00       123.00
3466           110.00       117.50       102.50
3474            38.05        40.70        35.40
3475            93.70       100.00        87.20
3481            93.70       100.00        87.20
3483           141.00       150.50       131.50
34831          131.00       140.15       121.85
3499            92.30        98.70        85.90
3504            74.10        79.20        69.00
3508            15.60        16.65        14.55
3546            15.60        16.65        14.55
3628            15.60        16.65        14.55
3630            15.60        16.65        14.55
3701             5.60         5.99         5.21
3702            20.90        22.35        19.45
4102            15.60        16.65        14.55
4103            46.95        50.20        43.70
41031          112.00       119.80       104.20
4104            63.80        68.20        59.40
4105            36.55        39.10        34.00
41052          114.00       121.95       106.05
4106            15.10        16.15        14.05
4107            20.40        21.80        19.00
公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

41071          214.00       228.00       200.00
4108            49.25        52.60        45.85
4109            23.40        25.00        21.80
41091          151.00       161.00       140.45
4111            16.10        17.20        15.00
4113             9.60        10.25         8.93
4114            16.00        17.10        14.90
41141          131.00       140.15       121.85
4119            31.10        33.25        28.95
4120            41.05        43.90        38.20
41201          153.00       163.00       142.30
4121            26.25        28.05        24.45
4123            24.25        25.90        22.60
41231          130.10       139.20       121.00
4126            32.30        34.55        30.05
4127            19.70        21.05        18.35
4128            17.65        18.85        16.45
4129            29.80        31.85        27.75
4131            32.00        34.20        29.80
41311          101.00       108.05        93.95
4205            20.20        21.60        18.80
4207            12.60        13.45        11.75
42071          159.00       170.00       147.90
4303             2.57         2.74         2.40
4304             5.07         5.42         4.72
4305            16.35        17.45        15.25
4306            21.40        22.85        19.95
43062          148.80       159.00       138.40
4401            11.10        11.85        10.35
4402             4.60         4.92         4.28
4406             8.76         9.37         8.15
4408             8.87         9.49         8.25
4413            12.90        13.80        12.00
4414             6.81         7.28         6.34
44142          107.00       114.45        99.55
4415            12.15        13.00        11.30
4416            94.00       100.50        87.50
4417            23.65        25.30        22.00
4419            60.00        64.20        55.80
4420            20.00        21.40        18.60
4426            13.85        14.80        12.90
4502             8.27         8.84         7.70
4503             6.50         6.95         6.05
4506            13.25        14.15        12.35
4510            15.45        16.50        14.40
4513            29.00        31.00        27.00
4523            19.50        20.85        18.15
4526            45.70        48.85        42.55
4527            27.50        29.40        25.60
45271          126.00       134.80       117.20
4528            17.40        18.60        16.20
4529            11.40        12.15        10.65
4530             9.04         9.67         8.41
4532            16.10        17.20        15.00
45321          214.00       228.00       200.00
4533            22.20        23.75        20.65
4534            10.25        10.95         9.54
公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

45341          101.50       108.60        94.40
4535            59.50        63.60        55.40
4609             7.54         8.06         7.02
4702             6.20         6.63         5.77
4703            19.30        20.65        17.95
4706            11.70        12.50        10.90
4707            15.65        16.70        14.60
4711            24.60        26.30        22.90
4712             7.75         8.29         7.21
4714            18.85        20.15        17.55
4716            50.10        53.60        46.60
4720            13.25        14.15        12.35
4721            24.45        26.15        22.75
47211          108.00       115.55       100.45
4722            13.00        13.90        12.10
47221          111.25       119.00       103.50
4801            19.00        20.30        17.70
4903            13.40        14.30        12.50
4904            37.60        40.20        35.00
4905            13.60        14.55        12.65
4906            86.90        92.90        80.90
4907             8.02         8.58         7.46
4908           109.50       117.00       102.00
4909            67.00        71.60        62.40
49092          221.00       236.00       206.00
5007            31.35        33.50        29.20
5009            49.20        52.60        45.80
5011             3.51         3.75         3.27
5013            21.90        23.40        20.40
5014            29.15        31.15        27.15
5015            35.50        37.95        33.05
5016            22.00        23.50        20.50
5017             5.08         5.43         4.73
5102            11.40        12.15        10.65
5201            16.20        17.30        15.10
5202            11.60        12.40        10.80
5203           120.50       128.50       112.50
5204            16.10        17.20        15.00
52041           98.00       104.85        91.15
5205            15.65        16.70        14.60
5206             6.00         6.42         5.58
5209            40.40        43.20        37.60
5210            11.90        12.70        11.10
5211            38.65        41.35        35.95
52111          188.00       201.00       175.00
5212            36.10        38.60        33.60
5213            26.20        28.00        24.40
52131          176.00       188.00       164.00
5301            13.95        14.90        13.00
5302            29.10        31.10        27.10
5304            11.00        11.75        10.25
5305            29.25        31.25        27.25
5306             5.13         5.48         4.78
5309            13.05        13.95        12.15
5310             8.01         8.57         7.45
5312            48.50        51.80        45.15
5314            11.15        11.90        10.40
公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

5315             8.37         8.95         7.79
53152          104.00       111.25        96.75
5317            15.75        16.85        14.65
5318             5.22         5.58         4.86
5321             3.86         4.13         3.59
5324             1.25         1.33         1.17
5326            29.85        31.90        27.80
5340             7.80         8.34         7.26
5344             7.53         8.05         7.01
5345             4.16         4.45         3.87
5346            20.50        21.90        19.10
53461          108.10       115.65       100.55
53462          110.05       117.75       102.35
5347            29.10        31.10        27.10
5348            46.00        49.20        42.80
5349            10.55        11.25         9.82
5351            39.70        42.45        36.95
5353            16.15        17.25        15.05
5355            27.40        29.30        25.50
53551          420.00       449.00       391.00
53552          170.00       181.00       159.00
5356            12.40        13.25        11.55
5364            54.60        58.40        50.80
5371            54.10        57.80        50.40
5376              .98         1.04          .92
5381             8.22         8.79         7.65
5383            19.90        21.25        18.55
5384            15.05        16.10        14.00
5386             6.50         6.95         6.05
5387            13.50        14.40        12.60
5388            39.00        41.70        36.30
5392           105.00       112.00        97.70
5395            35.00        37.45        32.55
5398             9.63        10.30         8.96
5403            15.30        16.35        14.25
54031          120.00       128.40       111.60
5410            15.70        16.75        14.65
5414             1.68         1.79         1.57
5425            32.20        34.45        29.95
54252          173.00       185.00       161.00
54253          173.00       185.00       161.00
5426            23.10        24.70        21.50
5432            17.30        18.50        16.10
5434            75.60        80.80        70.40
5438            52.00        55.60        48.40
5439            37.05        39.60        34.50
5443            34.60        37.00        32.20
5450            15.40        16.45        14.35
5452            13.80        14.75        12.85
5455            22.05        23.55        20.55
5457            15.30        16.35        14.25
5460            27.40        29.30        25.50
5464            34.80        37.20        32.40
5465            12.05        12.85        11.25
5466            27.30        29.20        25.40
5467             6.88         7.36         6.40
5468             8.70         9.30         8.10
公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

5469            28.10        30.05        26.15
5471            82.60        88.30        76.90
5474            55.40        59.20        51.60
5475            14.25        15.20        13.30
5478            75.80        81.10        70.50
5480            12.50        13.35        11.65
5481            28.30        30.25        26.35
54811          131.00       140.15       121.85
5483           165.00       176.50       153.50
5484            46.70        49.95        43.45
5487            22.50        24.05        20.95
5488            27.55        29.45        25.65
5489            37.90        40.55        35.25
5490            47.45        50.70        44.15
5491            48.60        52.00        45.20
5492            31.00        33.15        28.85
5493            16.60        17.75        15.45
54931          105.00       112.35        97.65
5498            17.25        18.45        16.05
5501             1.05         1.12          .98
5505            28.50        30.45        26.55
5506            12.45        13.30        11.60
5508            51.40        54.90        47.85
5511            13.65        14.60        12.70
5512            24.15        25.80        22.50
55121          120.00       128.40       111.60
5514            21.00        22.45        19.55
5515            20.50        21.90        19.10
5516            12.20        13.05        11.35
5519            37.20        39.80        34.60
5520            19.00        20.30        17.70
5521            20.40        21.80        19.00
5522            57.50        61.50        53.50
5523            27.20        29.10        25.30
5525            42.00        44.90        39.10
5529            30.70        32.80        28.60
5530            23.55        25.15        21.95
5531            67.10        71.70        62.50
5533            25.55        27.30        23.80
5534            66.60        71.20        62.00
55341          317.00       339.00       295.00
55342          299.00       319.00       279.00
5601            15.00        16.05        13.95
5603            13.80        14.75        12.85
5604            26.60        28.45        24.75
5605             8.30         8.88         7.72
5607            19.80        21.15        18.45
5608            46.20        49.40        43.00
56082          152.00       162.00       141.40
5609            35.75        38.25        33.25
5701            20.00        21.40        18.60
5703            30.50        32.60        28.40
5704            29.75        31.80        27.70
5706            74.00        79.10        68.90
5810             2.20         2.35         2.05
5818            11.20        11.95        10.45
5820             6.76         7.23         6.29
公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

58201          102.50       109.65        95.35
5854            23.35        24.95        21.75
5902             9.20         9.84         8.56
5903            51.10        54.60        47.55
5904            22.50        24.05        20.95
59041          115.00       123.05       106.95
5905            20.65        22.05        19.25
59051          165.00       176.00       154.00
59052          176.00       188.00       164.00
6004            11.00        11.75        10.25
6005            15.10        16.15        14.05
6008            11.00        11.75        10.25
6012             8.80         9.41         8.19
6015             7.07         7.56         6.58
6016             9.00         9.63         8.37
60161          106.00       113.40        98.60
6020            15.95        17.05        14.85
6021            10.80        11.55        10.05
6022            10.25        10.95         9.54
6101            17.20        18.40        16.00
6103            27.35        29.25        25.45
6104            85.80        91.80        79.80
6105            83.10        88.90        77.30
6107             6.00         6.42         5.58
6108            20.30        21.70        18.90
6109            14.10        15.05        13.15
6110             8.10         8.66         7.54
61102          102.00       109.10        94.90
6111            18.60        19.90        17.30
61111          105.00       112.35        97.65
6112            19.40        20.75        18.05
6113             8.54         9.13         7.95
6114            11.25        12.00        10.50
6115            48.75        52.10        45.35
61152          116.50       124.65       108.35
6116             6.62         7.08         6.16
6117            22.30        23.85        20.75
6118            31.00        33.15        28.85
6119            15.10        16.15        14.05
61191          106.50       113.95        99.05
61192           99.00       105.90        92.10
6120            44.50        47.60        41.40
61202          230.00       246.00       214.00
61203          120.00       128.40       111.60
6121           156.50       167.00       146.00
6122            17.05        18.20        15.90
6123            25.65        27.40        23.90
6124            40.50        43.30        37.70
6125            43.80        46.85        40.75
6126            53.80        57.50        50.10
61261          123.95       132.60       115.30
6127            18.50        19.75        17.25
