＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 記載されているオプション商品の「理論価格」は，当該取引日の16時までの間，J-NET取引の値幅を計算する際に用いる理論価格をいいます。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
161010074,FUT_NIFTY_1601,　,201601,,7814,,7831.6,,,65,インドNifty50
160120076,FUT_RNP_1512,　,201512,,1202,1202.2,1202.1,,0.13,16,RNP
161030076,FUT_RNP_1603,　,201603,,1201,1201.2,1202.1,,0.2573,107,RNP
161060076,FUT_RNP_1606,　,201606,,1192,1192.2,1202.1,,0.2836,198,RNP
161090076,FUT_RNP_1609,　,201609,,1191.5,1191.6,1202.1,,0.2836,289,RNP
161120076,FUT_RNP_1612,　,201612,,1184,1184.2,1202.1,,0.2836,380,RNP
160120017,FUT_NKDIV_1512,　,201512,,326,,,,,128,日経平均配当
161120017,FUT_NKDIV_1612,　,201612,,366.8,,,,,495,日経平均配当
162120017,FUT_NKDIV_1712,　,201712,,392,,,,,859,日経平均配当
163120017,FUT_NKDIV_1812,　,201812,,409.2,,,,,1223,日経平均配当
164120017,FUT_NKDIV_1912,　,201912,,420.7,,,,,1589,日経平均配当
165120017,FUT_NKDIV_2012,　,202012,,423.3,,,,,1954,日経平均配当
166120017,FUT_NKDIV_2112,　,202112,,422.8,,,,,2319,日経平均配当
167120017,FUT_NKDIV_2212,　,202212,,399.2,,,,,2686,日経平均配当
160120008,FUT_TPDIV_1512,　,201512,,30,,,,,128,TOPIX配当
161120008,FUT_TPDIV_1612,　,201612,,30.44,,,,,495,TOPIX配当
162120008,FUT_TPDIV_1712,　,201712,,33.39,,,,,859,TOPIX配当
163120008,FUT_TPDIV_1812,　,201812,,34.86,,,,,1223,TOPIX配当
164120008,FUT_TPDIV_1912,　,201912,,35.45,,,,,1589,TOPIX配当
165120008,FUT_TPDIV_2012,　,202012,,35.4,,,,,1954,TOPIX配当
166120008,FUT_TPDIV_2112,　,202112,,35.31,,,,,2319,TOPIX配当
167120008,FUT_TPDIV_2212,　,202212,,35.27,,,,,2686,TOPIX配当
160120064,FUT_TP30D_1512,　,201512,,17.83,,,,,128,Core30配当
161120064,FUT_TP30D_1612,　,201612,,17.83,,,,,495,Core30配当
162120064,FUT_TP30D_1712,　,201712,,18.48,,,,,859,Core30配当
163120064,FUT_TP30D_1812,　,201812,,18.74,,,,,1223,Core30配当
164120064,FUT_TP30D_1912,　,201912,,18.76,,,,,1589,Core30配当
165120064,FUT_TP30D_2012,　,202012,,18.73,,,,,1954,Core30配当
166120064,FUT_TP30D_2112,　,202112,,18.7,,,,,2319,Core30配当
167120064,FUT_TP30D_2212,　,202212,,18.67,,,,,2686,Core30配当
160120001,FUT_JGBL_1512,　,201512,,148.53,,,,,26,長期国債
161030001,FUT_JGBL_1603,　,201603,,148.64,,,,,118,長期国債
161060001,FUT_JGBL_1606,　,201606,,148.04,,,,,208,長期国債
160120007,FUT_JGBLM_1512,　,201512,,148.53,,,,,19,長期国債先物
161030007,FUT_JGBLM_1603,　,201603,,148.64,,,,,110,長期国債先物
161060007,FUT_JGBLM_1606,　,201606,,148.04,,,,,201,長期国債先物
160120004,FUT_JGBM_1512,　,201512,,112.51,,,,,26,中期国債
161030004,FUT_JGBM_1603,　,201603,,112.48,,,,,118,中期国債
161060004,FUT_JGBM_1606,　,201606,,112.44,,,,,208,中期国債
160120002,FUT_JGBSL_1512,　,201512,,138.82,,,,,26,超長期国債
161030002,FUT_JGBSL_1603,　,201603,,137.98,,,,,118,超長期国債
161060002,FUT_JGBSL_1606,　,201606,,137.5,,,,,208,超長期国債
190124018,CAL_NK225_1512_4000,CAL,201512,4000,15860,15855,19847.58,292.0116,0.13,16,日経225
190124518,CAL_NK225_1512_4500,CAL,201512,4500,15360,15355,19847.58,270.7709,0.13,16,日経225
190125018,CAL_NK225_1512_5000,CAL,201512,5000,14860,14855,19847.58,251.8814,0.13,16,日経225
140125518,CAL_NK225_1512_5500,CAL,201512,5500,14360,14355,19847.58,234.8746,0.13,16,日経225
140126018,CAL_NK225_1512_6000,CAL,201512,6000,13860,13855,19847.58,219.4078,0.13,16,日経225
140126518,CAL_NK225_1512_6500,CAL,201512,6500,13360,13355,19847.58,205.2232,0.13,16,日経225
140127018,CAL_NK225_1512_7000,CAL,201512,7000,12860,12855,19847.58,192.1219,0.13,16,日経225
140127518,CAL_NK225_1512_7500,CAL,201512,7500,12360,12355,19847.58,179.947,0.13,16,日経225
140128018,CAL_NK225_1512_8000,CAL,201512,8000,11860,11855,19847.58,168.5729,0.13,16,日経225
140128518,CAL_NK225_1512_8500,CAL,201512,8500,11360,11355,19847.58,157.8974,0.13,16,日経225
140129018,CAL_NK225_1512_9000,CAL,201512,9000,10860,10855,19847.58,147.8358,0.13,16,日経225
140129218,CAL_NK225_1512_9250,CAL,201512,9250,10610,10605,19847.58,143.0128,0.13,16,日経225
140129518,CAL_NK225_1512_9500,CAL,201512,9500,10360,10355,19847.58,138.3178,0.13,16,日経225
140129718,CAL_NK225_1512_9750,CAL,201512,9750,10110,10105,19847.58,133.7436,0.13,16,日経225
140120018,CAL_NK225_1512_10000,CAL,201512,10000,9860,9855,19847.58,129.2837,0.13,16,日経225
140120218,CAL_NK225_1512_10250,CAL,201512,10250,9610,9605,19847.58,124.9319,0.13,16,日経225
140120518,CAL_NK225_1512_10500,CAL,201512,10500,9360,9355,19847.58,120.6825,0.13,16,日経225
140120718,CAL_NK225_1512_10750,CAL,201512,10750,9110,9105,19847.58,116.5305,0.13,16,日経225
140121018,CAL_NK225_1512_11000,CAL,201512,11000,8860,8855,19847.58,112.4707,0.13,16,日経225
140121218,CAL_NK225_1512_11250,CAL,201512,11250,8610,8605,19847.58,108.4986,0.13,16,日経225
140121518,CAL_NK225_1512_11500,CAL,201512,11500,8360,8355,19847.58,104.6099,0.13,16,日経225
